key,congress,number,bill_type,is_alive,current_status,title_without_number
112#house_resolution=258,112,258,house_resolution,False,referred,Honoring and supporting women in the Middle East and North Africa for their bravery and leadership and calling on the United States Government and the international community to recognize their vital role in democracy movements and promote the rights and empowerment of women and girls in the region.
111#house_resolution=1208,111,1208,house_resolution,False,passed_simpleres,Supporting the goals of World Intellectual Property Day.
111#house_resolution=1209,111,1209,house_resolution,False,referred,Expressing disapproval of the House of Representatives with respect to the Department of Energy’s motion with the Nuclear Regulatory Commission to withdraw the license application for a high-level nuclear waste repository at Yucca Mountain with prejudice.
107#house_bill=493,107,493,house_bill,False,referred,To amend the Internal Revenue Code of 1986 to allow individuals a refundable credit against income tax for payroll taxes.
111#house_bill=4344,111,4344,house_bill,False,referred,To prohibit the Environmental Protection Agency from obligating any amounts for the regulation of emissions of carbon dioxide.
108#house_bill=5312,108,5312,house_bill,False,referred,Act to Save America’s Forests
107#house_bill=4777,107,4777,house_bill,False,referred,Terrorist Attacks bill
107#house_bill=4775,107,4775,house_bill,False,enacted_signed,2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States
108#house_bill=2417,108,2417,house_bill,False,enacted_signed,Intelligence Authorization Act for Fiscal Year 2004
110#house_bill=729,110,729,house_bill,False,referred,Home Energy Generation Act
108#house_concurrent_resolution=372,108,372,house_concurrent_resolution,False,referred,Expressing the sense of Congress with respect to the urgency of cessation of hostilities in the Republic of Haiti.
108#house_concurrent_resolution=371,108,371,house_concurrent_resolution,False,referred,Supporting the construction by Israel of a security fence to prevent Palestinian terrorist attacks and condemning the decision by the United Nations General Assembly to request the International Court of Justice to render an opinion on the legality of the security fence.
110#house_bill=725,110,725,house_bill,False,referred,Veterans’ Memorials, Boy Scouts, Public Seals, and Other Public Expressions of Religion Protection Act of 2007
110#house_bill=727,110,727,house_bill,False,enacted_signed,Trauma Care Systems Planning and Development Act of 2007
110#house_bill=720,110,720,house_bill,False,pass_over_house,Water Quality Financing Act of 2007
108#house_concurrent_resolution=378,108,378,house_concurrent_resolution,False,pass_over_house,Calling on the Government of the Socialist Republic of Vietnam to immediately and unconditionally release Father Thaddeus Nguyen Van Ly, and for other purposes.
112#house_bill=819,112,819,house_bill,False,referred,Government Shutdown Fairness Act
112#house_bill=114,112,114,house_bill,False,referred,Biennial Budgeting and Appropriations Act of 2011
112#house_bill=813,112,813,house_bill,False,referred,To amend title 38, United States Code, to reduce the period of time for which a veteran must be totally disabled before the veteran’s survivors are eligible for the benefits provided by the Secretary of Veterans Affairs for survivors of certain veterans rated totally disabled at time of death.
106#house_bill=1714,106,1714,house_bill,False,pass_over_house,Electronic Signatures in Global and National Commerce Act
112#house_bill=815,112,815,house_bill,False,referred,Justice for Public Servants Act of 2011
112#house_bill=814,112,814,house_bill,False,referred,Medicare VA Reimbursement Act of 2011
110#house_bill=6601,110,6601,house_bill,False,referred,Small Business Tax Modernization Act of 2008
110#house_bill=6605,110,6605,house_bill,False,referred,Home Heating Fuels Cost Relief Act of 2008
110#house_bill=6604,110,6604,house_bill,False,pass_over_house,Commodity Markets Transparency and Accountability Act of 2008
110#house_bill=6606,110,6606,house_bill,False,referred,To direct the Secretary of Homeland Security to impose requirements for the improvement of security camera and video surveillance systems at certain airports, and for other purposes.
108#house_bill=1310,108,1310,house_bill,False,referred,Reforestation Tax Act of 2003
108#house_bill=1313,108,1313,house_bill,False,referred,To amend the Internal Revenue Code of 1986 to restore the deduction for the travel expenses of a taxpayer’s spouse who accompanies the taxpayer on business travel.
110#house_bill=6358,110,6358,house_bill,False,pass_over_house,Stop Child Abuse in Residential Programs for Teens Act of 2008
